Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
3585,121,,Point,41.87004599,-111.514898,2618.658,-16.933
3584,120,,Point,41.8700382,-111.5148762,2622.332,-16.933
,119,,,41.8700382,-111.5148762,2622.332,-16.933
3583,118,,Point,41.87004275,-111.514851,2619.731,-16.933
,117,,,41.87004275,-111.514851,2619.731,-16.933
3582,116,,Point,41.87004475,-111.5148161,2629.361,-16.933
3581,115,,Point,41.87009561,-111.5148465,2623.196,-16.933
3580,114,,Point,41.87014642,-111.5148279,2620.403,-16.933
3578,113,,Point,41.87013545,-111.5148209,2620.439,-16.933
3577,112,,Point,41.87011745,-111.5147739,2624.833,-16.933
3576,111,,Point,41.87010289,-111.5147865,2619.54,-16.933
3575,110,,Point,41.87011174,-111.5148215,2616.371,-16.933
3574,109,,Point,41.87011652,-111.5148151,2616.923,-16.933
,108,,,41.87011652,-111.5148151,2616.923,-16.933
3573,107,,Point,41.87010726,-111.5148276,2629.146,-16.933
,106,,,41.87010726,-111.5148276,2629.146,-16.933
3571,105,,Point,41.87013139,-111.5147609,2617.845,-16.933
3570,104,,Point,41.87014857,-111.5147892,2623.114,-16.933
3569,103,,Point,41.8701641,-111.5148374,2619.343,-16.933
3568,102,,Point,41.87016804,-111.5148458,2620.122,-16.933
3567,101,,Point,41.87017327,-111.5148667,2621.471,-16.933
3566,100,,Point,41.87018768,-111.5148669,2622.228,-16.933
3564,99,,Point,41.8702039,-111.5148385,2624.726,-16.933
3563,98,,Point,41.87018455,-111.5148217,2625.551,-16.933
3562,97,,Point,41.87019464,-111.5147796,2625.329,-16.933
3561,96,,Point,41.87031465,-111.5148365,2614.942,-16.933
3560,95,,Point,41.87029615,-111.5148098,2620.891,-16.933
3559,94,,Point,41.87023708,-111.5148285,2618.357,-16.933
3558,93,,Point,41.87029116,-111.5147774,2612.947,-16.933
3557,92,,Point,41.87027122,-111.5147993,2622.6,-16.933
3556,91,,Point,41.87029405,-111.5147984,2623.226,-16.933
3555,90,,Point,41.87030936,-111.5147832,2618.915,-16.933
3554,89,,Point,41.87029129,-111.5147709,2619.34,-16.933
3553,88,,Point,41.87029493,-111.5147323,2621.867,-16.933
3551,87,,Point,41.87032901,-111.5148301,2617.377,-16.933
3550,86,,Point,41.87031159,-111.5148502,2616.253,-16.933
,85,,,41.87031159,-111.5148502,2616.253,-16.933
3549,84,,Point,41.8703639,-111.5148357,2616.243,-16.933
3548,83,,Point,41.8703723,-111.5148142,2615.926,-16.933
3547,82,,Point,41.87038297,-111.5147773,2618.378,-16.933
3546,81,,Point,41.87036759,-111.5148095,2620.582,-16.933
3545,78,,Point,41.87031962,-111.5147544,2617.875,-16.933
3544,80,,Point,41.87037257,-111.5147787,2617.752,-16.933
3543,79,,Point,41.87036817,-111.5147463,2621.255,-16.933
3542,77,,Point,41.87030223,-111.5147716,2623.9,-16.933
3541,76,,Point,41.87032239,-111.5147343,2618.935,-16.933
3540,75,,Point,41.87036867,-111.5147201,2618.477,-16.933
3539,74,,Point,41.87037214,-111.5147092,2617.564,-16.933
3538,73,,Point,41.87041694,-111.5147361,2620.363,-16.933
3537,72,,Point,41.87039866,-111.5147354,2619.596,-16.933
3535,71,,Point,41.87040099,-111.5147366,2618.82,-16.933
3534,70,,Point,41.87045739,-111.5147969,2621.702,
3532,69,,Point,41.8704631,-111.5148012,2625.64,-16.933
3531,68,,Point,41.87043466,-111.5147599,2617.262,-16.933
3530,67,,Point,41.8703823,-111.5147537,2617.737,-16.933
3529,66,,Point,41.87036841,-111.5147297,2622.661,-16.933
3528,66,,Point,41.87037083,-111.5147248,2623.815,-16.933
3527,65,,Point,41.87041563,-111.5147387,2617.065,-16.933
3526,64,,Point,41.87043987,-111.5146962,2617.377,-16.933
3525,63,,Point,41.87042331,-111.5146862,2621.894,-16.933
3524,62,,Point,41.87056602,-111.5147419,2618.778,-16.933
3522,61,,Point,41.87049449,-111.514741,2610.541,-16.933
3521,60,,Point,41.87050913,-111.5147436,2612.644,-16.933
3520,57,,Point,41.87054811,-111.5147006,2614.254,-16.933
3519,56,,Point,41.87056337,-111.5147366,2615.956,-16.933
3518,55,,Point,41.87054612,-111.5147143,2615.535,-16.933
3517,59,,Point,41.87053011,-111.5147274,2613.873,-16.933
,58,,,41.87053011,-111.5147274,2613.873,-16.933
3516,54,,Point,41.87052275,-111.5147118,2614.33,-16.933
3515,53,,Point,41.87050075,-111.5146693,2615.232,-16.933
3513,52,,Point,41.87051431,-111.5146592,2617.743,-16.933
3511,51,,Point,41.87054789,-111.5146652,2615.99,-16.933
3510,50,,Point,41.87063625,-111.5147766,2618.684,-16.933
3509,49,,Point,41.87064703,-111.5146886,2616.13,-16.933
3507,48,,Point,41.87065236,-111.5147188,2620.037,-16.933
3506,47,,Point,41.87059438,-111.5147435,2610.339,-16.933
3505,46,,Point,41.87059343,-111.5146713,2617.579,-16.933
3504,45,,Point,41.87063648,-111.5146719,2621.14,-16.933
3503,44,,Point,41.87063911,-111.5146332,2607.231,-16.933
3502,43,,Point,41.8706234,-111.5146694,2617.455,-16.933
3501,42,,Point,41.87056469,-111.5146839,2616.671,-16.933
3500,41,,Point,41.8706063,-111.5146804,2617.896,-16.933
3499,40,,Point,41.87061139,-111.5146665,2616.636,-16.933
3497,39,,Point,41.87060605,-111.5146468,2622.747,-16.933
3496,38,,Point,41.87060147,-111.5146299,2623.529,-16.933
3495,37,,Point,41.87064039,-111.5146462,2622.383,-16.933
3494,36,,Point,41.87065478,-111.5146758,2624.248,-16.933
3493,35,,Point,41.87064052,-111.5146642,2618.16,-16.933
3492,34,,Point,41.87065026,-111.5146595,2616.876,-16.933
3490,33,,Point,41.87072447,-111.5147269,2612.819,-16.933
3489,32,,Point,41.87078369,-111.5147331,2614.753,-16.933
3488,31,,Point,41.87075278,-111.5147128,2613.836,-16.933
3487,30,,Point,41.87075011,-111.5147168,2614.523,-16.933
3486,29,,Point,41.87072461,-111.5147197,2614.953,-16.933
3485,28,,Point,41.87068429,-111.5146838,2613.9,-16.933
3484,27,,Point,41.87070135,-111.5146996,2614.905,-16.933
3483,26,,Point,41.87068771,-111.5146453,2614.449,-16.933
,25,,,41.87068771,-111.5146453,2614.449,-16.933
3482,24,,Point,41.87070556,-111.5146401,2612.954,-16.933
3481,23,,Point,41.87072865,-111.5146443,2617.421,-16.933
3480,22,,Point,41.87072944,-111.5146366,2618.234,-16.933
3478,21,,Point,41.87080305,-111.5146127,2608.816,-16.933
3477,20,,Point,41.87074758,-111.514651,2610.541,-16.933
3476,19,,Point,41.87073938,-111.514635,2614.381,-16.933
3475,18,,Point,41.87077554,-111.5146042,2611.895,-16.933
3474,17,,Point,41.87082645,-111.5145667,2615.295,-16.933
3473,16,,Point,41.87077613,-111.5145785,2615.11,-16.933
3472,15,,Point,41.87070785,-111.5145679,2618.099,-16.933
3471,13,,Point,41.87085317,-111.5146714,2608.074,-16.933
3470,12,,Point,41.87088528,-111.5146511,2602.102,-16.933
3469,11,,Point,41.87088644,-111.5146288,2605.84,-16.933
3468,10,,Point,41.87084403,-111.5146443,2609.997,-16.933
3467,9,,Point,41.87084681,-111.514662,2611.164,-16.933
3466,8,,Point,41.8708248,-111.5146629,2610.221,-16.933
3464,7,,Point,41.87080825,-111.5146247,2609.815,-16.933
3462,6,,Point,41.87083715,-111.5146243,2607.912,-16.933
3461,5,,Point,41.87086905,-111.5145985,2615.375,-16.933
3460,4,,Point,41.87090413,-111.5145797,2615.765,-16.933
3459,3,,Point,41.87086075,-111.5145619,2611.475,-16.933
3458,2,,Point,41.87087346,-111.5145614,2606.183,-16.933
3457,1,,Point,41.87086802,-111.5145615,2608.964,-16.933
3456,potr209,,Point,41.6413189,-111.4918265,2241.266,-16.903
3455,potr208,,Point,41.64126237,-111.4918551,2237.91,-16.903
3454,potr206,,Point,41.6411942,-111.4918674,2238.296,-16.903
3453,potr207,,Point,41.64127667,-111.491829,2237.989,-16.903
3452,potr205,,Point,41.64121202,-111.4918949,2237.14,-16.903
3451,potr204,,Point,41.6412028,-111.4918818,2236.831,-16.903
3450,acgr21,,Point,41.64121826,-111.4919374,2234.404,-16.903
3449,potr203,,Point,41.64125654,-111.4918616,2236.809,-16.903
3448,potr202,,Point,41.64133657,-111.4918868,2239.656,-16.903
3447,1037,,Point,41.64110862,-111.4920644,2235.706,-16.903
3446,1008,,Point,41.64111223,-111.4920221,2231.604,-16.903
3445,potr200,,Point,41.64125887,-111.4919925,2236.765,-16.903
3444,potr199,,Point,41.64125151,-111.4920418,2239.359,-16.903
3443,potr198,,Point,41.64126126,-111.4920362,2240.886,-16.903
3442,potr197,,Point,41.6413318,-111.4920274,2240.608,-16.903
3441,potr196,,Point,41.64133395,-111.492047,2240.651,-16.903
3440,potr195,,Point,41.6413135,-111.4920302,2240.922,-16.903
3439,jusp1,,Point,41.64143574,-111.492083,2244.465,-16.903
3438,potr194,,Point,41.6412283,-111.4921831,2234.706,-16.903
3437,potr193,,Point,41.64123749,-111.4921699,2234.755,-16.903
3436,potr192,,Point,41.64127025,-111.4921285,2238.113,-16.903
3435,potr191,,Point,41.64125179,-111.492206,2236.127,-16.903
3434,potr190,,Point,41.6412542,-111.4922356,2237.804,-16.903
3433,potr189,,Point,41.64130114,-111.4922749,2239.003,-16.903
3432,potr182,,Point,41.64132092,-111.4923159,2237.608,-16.903
3431,potr183,,Point,41.64132039,-111.4922992,2238.354,-16.903
3430,potr184,,Point,41.64132879,-111.4923324,2238.232,-16.903
